,Player,Mat,Inn,NO,Runs,Avg,100,50,Point,catagory
252,Sarfaraz Ahmed (PAK),49,86.0,13.0,2657.0,36.39,3.0,18.0,7.371822620867915,2
253,VG Kambli (INDIA),17,21.0,1.0,1084.0,54.2,4.0,3.0,7.318546261731352,2
254,WW Armstrong (AUS),50,84.0,10.0,2863.0,38.68,6.0,8.0,7.275288329206888,2
255,WJ Edrich (ENG),39,63.0,2.0,2440.0,40.0,6.0,13.0,7.242403773178143,2
256,CJL Rogers (AUS),25,48.0,1.0,2015.0,42.87,5.0,14.0,7.195823770202756,2
257,G Pullar (ENG),28,49.0,4.0,1974.0,43.86,4.0,12.0,7.159586699523551,2
258,KW Hough (NZ),2,3.0,2.0,62.0,62.0,0.0,0.0,7.148802306857971,2
259,J Hardstaff jnr (ENG),23,38.0,3.0,1636.0,46.74,4.0,10.0,7.133755071200053,2
260,JB Stollmeyer (WI),32,56.0,5.0,2159.0,42.33,4.0,12.0,7.109443876577752,2
261,Hon.FS Jackson (ENG),20,33.0,4.0,1415.0,48.79,5.0,6.0,7.066347310704971,2
262,DS Lehmann (AUS),27,42.0,2.0,1798.0,44.95,5.0,10.0,7.057518070081606,2
263,MAK Pataudi (INDIA),46,83.0,3.0,2793.0,34.91,6.0,16.0,7.052506164931955,2
264,GW Flower (ZIM),67,123.0,6.0,3457.0,29.54,6.0,15.0,7.037391568663907,2
265,CG Macartney (AUS),35,55.0,4.0,2131.0,41.78,7.0,9.0,7.035409607310021,2
266,RW Marsh (AUS),96,150.0,13.0,3633.0,26.51,3.0,16.0,7.030274242771101,2
267,EAB Rowan (SA),26,50.0,5.0,1965.0,43.66,3.0,12.0,7.006890243125216,2
268,RH Shodhan (INDIA),3,4.0,1.0,181.0,60.33,1.0,0.0,7.0027404946610545,2
269,Habibul Bashar (BDESH),50,99.0,1.0,3026.0,30.87,3.0,24.0,7.001739955483313,2
270,LG Rowe (WI),30,49.0,2.0,2047.0,43.55,7.0,7.0,6.9869876378126445,2
