,Player,Mat,Inn,NO,Runs,Avg,100,50
316,HH Streak (ZIM),65,107.0,18.0,1990.0,22.35,1.0,11.0
317,AD Gaekwad (INDIA),40,70.0,4.0,1985.0,30.07,2.0,10.0
318,G Pullar (ENG),28,49.0,4.0,1974.0,43.86,4.0,12.0
319,BM McMillan (SA),38,62.0,12.0,1968.0,39.36,3.0,13.0
320,EAB Rowan (SA),26,50.0,5.0,1965.0,43.66,3.0,12.0
321,JM Parks (ENG),46,68.0,7.0,1962.0,32.16,2.0,9.0
322,BA Edgar (NZ),39,68.0,4.0,1958.0,30.59,3.0,12.0
323,Abdul Razzaq (PAK),46,77.0,9.0,1946.0,28.61,3.0,7.0
324,W Jaffer (INDIA),31,58.0,1.0,1944.0,34.1,5.0,11.0
325,RS Kaluwitharana (SL),49,78.0,4.0,1933.0,26.12,3.0,9.0
326,AC MacLaren (ENG),35,61.0,4.0,1931.0,33.87,5.0,8.0
327,L Klusener (SA),49,69.0,11.0,1906.0,32.86,4.0,8.0
328,Yuvraj Singh (INDIA),40,62.0,6.0,1900.0,33.92,3.0,11.0
329,JO Holder (WI),40,69.0,11.0,1898.0,32.72,3.0,8.0
330,Shoaib Malik (PAK),35,60.0,6.0,1898.0,35.14,3.0,8.0
331,RC Russell (ENG),54,86.0,16.0,1897.0,27.1,2.0,6.0
332,Salman Butt (PAK),33,62.0,0.0,1889.0,30.46,3.0,10.0
333,PH Parfitt (ENG),37,52.0,6.0,1882.0,40.91,7.0,6.0
334,N Dickwella (SL),35,64.0,4.0,1857.0,30.95,0.0,14.0
335,GRJ Matthews (AUS),33,53.0,8.0,1849.0,41.08,4.0,12.0
336,RA Jadeja (INDIA),48,69.0,17.0,1844.0,35.46,1.0,14.0
337,BRM Taylor (ZIM),28,56.0,4.0,1840.0,35.38,6.0,8.0
338,RES Wyatt (ENG),40,64.0,6.0,1839.0,31.7,2.0,12.0
339,R Illingworth (ENG),61,90.0,11.0,1836.0,23.24,2.0,5.0
